team,alternate
AFC,AFC
ARI,ARI
ARI,ARZ
ATL,ATL
BAL,BAL
BAL,BLT
BUF,BUF
CAR,CAR
CHI,CHI
CIN,CIN
CLE,CLE
IND,CLT
CLE,CLV
ARI,CRD
DAL,DAL
DEN,DEN
DET,DET
GB,GB
GB,GBP
GB,GNB
HOU,HOU
HOU,HST
HOU,HTX
IND,IND
JAX,JAC
JAX,JAX
KC,KAN
KC,KC
KC,KCC
LA,LA
LAC,LAC
LAC,LACH
LA,LAR
LA,LARM
LV,LV
LV,LVR
MIA,MIA
MIN,MIN
NE,NE
NE,NEP
NFC,NFC
NFL,NFL
NO,NO
NO,NOR
NO,NOS
NE,NWE
NYG,NYG
NYJ,NYJ
LV,OAK
TEN,OTI
PHI,PHI
PIT,PIT
LV,RAI
LA,RAM
BAL,RAV
LAC,SD
LAC,SDC
LAC,SDG
SEA,SEA
SF,SF
SF,SFO
LA,SL
LA,STL
TB,TAM
TB,TB
TB,TBB
TEN,TEN
WAS,WAS
WAS,WFT
WAS,WSH
